standard_name,gene
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,S100A8
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,EMID2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,MMP1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,MMP19
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,NGLY1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,TIMP3
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,FLG2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,ITIH3
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,PLAT
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,S100A16
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,EMILIN2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,ASPN
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,LUM
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,PRELP
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,TNXB
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,COL17A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,COL19A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,COL28A1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,GM7455
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,COL6A6
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,FBLN5
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,HMCN1
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,LAMA2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,OGN
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,THBS2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,S100A8
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,EMID2
NABA_Hs_MATRISOME_POORLY_METASTATIC_BREAST_CANCER,VWA1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,EGLN1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,S100A2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,SERPINE2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,ADAM10
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,ADAM9
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,ANGPTL4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,CST3
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,CTSB
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,CTSC
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,CTSF
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,HCFC2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,HTRA1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,LEPREL2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,LOXL2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,P4HTM
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,S100A10
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,TIMP1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,COL22A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,CTGF
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,TINAGL1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,AGRN
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,COL24A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,EFEMP2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,IGFBP4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,LTBP3
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,MFGE8
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,PRG4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,SNED1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER_TUMOR_CELL_DERIVED,SRPX
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,EGLN1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,F10
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,F13B
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,ITIH4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,S100A2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SERPINC1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SERPINE2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,ADAM10
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,ADAM9
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,ANGPTL4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,C1QA
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,C1QC
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,CST3
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,CTSB
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,CTSC
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,CTSF
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,HABP2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,HCFC2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,HTRA1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,IL16
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,LEPREL2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,LOXL2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,P4HTM
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,PLXNB2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,S100A10
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SERPINA1B
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SERPINF1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,TIMP1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,COL22A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,CTGF
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,PAPLN
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,TINAGL1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,VWF
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,AGRN
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,COL24A1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,COL4A6
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,EFEMP2
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,IGFBP4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,LTBP3
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,MFGE8
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,PRG4
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SNED1
NABA_Hs_MATRISOME_HIGHLY_METASTATIC_BREAST_CANCER,SRPX
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,ADAM10
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,ADAM9
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,ADAMTSL1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,C15ORF44
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,CLEC11A
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,CSPG4
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,EMID1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,FCN1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,FGL2
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,FMOD
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,LEFTY1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,LEPRE1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,LOXL1
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MEGF8
NABA_Hs_MATRISOME_PRIMARY_METASTATIC_COLORECTAL_TUMOR,MFGE8
